Timestamp,Jitter,Latency,Download Bandwidth,Upload Bandwidth,Download Throughput,Upload Throughput,Packet Loss
2022-03-07 13:24:54+00:00,4.016,51.896,25733549,3674309,0.16331297705676764,0.026461417587329363,4.333333333333333
2022-03-07 13:39:25+00:00,0.05,46.597,27321748,2867102,0.1768615677935893,0.02117447824775278,0.0
2022-03-07 14:24:40+00:00,0.103,31.877,37608524,3685310,0.25853444294757155,0.027541054574117124,0.0
2022-03-07 14:42:52+00:00,0.905,38.992,23148066,1041808,0.12279057860302939,0.007900469134952022,0.0
2022-03-07 15:24:39+00:00,0.212,47.821,33860620,730647,0.20978382941841242,0.005562366342921137,1.4814814814814814
2022-03-07 15:38:41+00:00,0.092,39.918,34045254,2208397,0.22259026751989042,0.016361284859572785,0.0
2022-03-07 16:24:51+00:00,2.02,40.03,30627637,2482123,0.16632051211244547,0.018766743821192016,2.3333333333333335
2022-03-07 16:47:40+00:00,0.115,43.574,30634103,3795932,0.2068533056270085,0.026774397848319663,0.3875968992248062
2022-03-07 17:24:38+00:00,3.973,37.32,37944494,1763913,0.2509936470324964,0.01319782128945771,0.8064516129032258
2022-03-07 17:46:11+00:00,2.07,39.927,30273817,2585478,0.1827409419337135,0.019401313828456192,0.0
2022-03-07 18:24:54+00:00,0.024,39.934,18139869,3547009,0.11503193942814831,0.024974629401206653,1.0
2022-03-07 18:39:25+00:00,0.371,31.68,34649977,1266022,0.22704012967407414,0.009478439905891575,0.3333333333333333
2022-03-07 19:24:43+00:00,2.048,39.947,26457720,2448083,0.1786146235759955,0.018275265058116875,0.0
2022-03-07 19:46:27+00:00,0.179,42.518,7607930,1397289,0.05547799707283508,0.010009301603138546,0.8333333333333334
2022-03-07 20:26:52+00:00,3.344,53.28,19141775,2272565,0.12037582911139258,0.016125141349330564,1.0
2022-03-07 20:44:36+00:00,0.17,46.489,27161326,1570673,0.1573653192531581,0.011699969951923076,0.0
2022-03-07 21:26:44+00:00,2.25,43.782,28568752,1590367,0.21066992588055605,0.011847298717173937,0.8130081300813008
2022-03-07 21:44:39+00:00,1.021,68.016,50206979,1502810,0.34559505887961417,0.011365896852420747,0.43103448275862066
2022-03-07 22:26:42+00:00,4.06,31.922,36325794,2684560,0.23277534434519345,0.020107899323387426,0.0
2022-03-07 22:40:54+00:00,5.815,32.904,33052778,1407963,0.21201271343313804,0.009831603661287089,1.3333333333333333
2022-03-07 23:26:49+00:00,2.558,42.872,25582840,2031604,0.16862840924055258,0.014932022175290391,0.6802721088435374
2022-03-08 00:26:50+00:00,5.98,39.941,25751631,1664156,0.1648117929518342,0.012789760238315595,0.0
2022-03-08 00:47:39+00:00,0.12,39.873,32080225,2441813,0.228151221226811,0.017751457751489876,1.3761467889908257
2022-03-08 01:26:47+00:00,4.04,31.897,22553460,2217590,0.16747710547213362,0.01666270751220752,0.0
2022-03-08 01:44:16+00:00,2.056,39.882,32736680,2343039,0.22028395266242462,0.016165168871154746,0.0
2022-03-08 02:26:48+00:00,0.065,31.86,32853311,1332640,0.2115213108253352,0.010076847254672897,0.3333333333333333
2022-03-08 02:45:24+00:00,0.099,39.905,43637919,4020464,0.2716165262858073,0.029076929959847068,0.0
2022-03-08 03:26:42+00:00,0.058,39.951,38902876,3897690,0.25255849708964456,0.029293852407553216,0.0
2022-03-08 03:44:10+00:00,3.995,39.943,14891088,1479392,0.09582492279780797,0.01115457734595108,0.0
2022-03-08 04:26:42+00:00,0.236,39.749,39922659,1936344,0.2679034572406371,0.01524227189142312,0.0
2022-03-08 04:44:58+00:00,0.112,35.876,31577086,2205927,0.20655170373606693,0.016309158006517246,0.0
2022-03-08 05:26:51+00:00,0.106,37.211,40070634,1855278,0.24092310791015625,0.014887089026936065,0.0
2022-03-08 05:41:18+00:00,0.055,55.92,39329581,3035271,0.2681030346669923,0.021484790122086917,2.3333333333333335
2022-03-08 06:26:54+00:00,0.115,39.86,38999478,1413292,0.23830467311581494,0.009543614651521587,0.3333333333333333
2022-03-08 06:41:12+00:00,0.105,55.886,36737617,3931533,0.24537271424885657,0.02934031715108182,0.0
2022-03-08 07:26:55+00:00,0.186,47.846,15174938,948294,0.07660864627106309,0.00645166015625,0.6666666666666666
